Review,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE&OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE&OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
"['_ Ảnh chụp từ hôm_qua , đi chơi với gia_đình và 1 nhà họ_hàng đang sống tại Sài_Gòn .', '_ Hôm_qua đi ăn trưa muộn , ai cũng đói hết nên lúc có đồ_ăn là nhào vô ăn_liền , bởi_vậy mới quên chụp các phần gọi thêm với nước_mắm , chỉ chụp món chính thôi !', '_ Đói quá nên không biết đánh_giá đồ_ăn kiểu gì luôn \uf605\uf605\uf605 _ Chọn cái này vì thấy nó lạ với tui .']",0,0,0,0,0,3,3,0,0,0,0,0
"['_ Hương_vị thơm ngon , ăn cay cay rất thích , nêm nếm vừa_miệng .', 'Ngoài_ra menu quán cũng nhiều món khác nhau tha_hồ cho bạn lựa_chọn luôn .', '_ Quán rộng_rãi , view khá đẹp và cũng thoáng lắm .', 'Khách của quán đông nên nhiều khi nhân_viên phục_vụ không được nhanh cho lắm .', '_ Thịt heo rừng giá theo kì nên nhớ hỏi trước nhưng trung_bình là 150k 1 phần .', 'Hai bạn đi chung chi khoảng 400k hơn là ổn nhé .']",1,0,0,0,3,1,1,0,1,0,3,2
"['- 1 bàn tiệc hoành_tráng 3 đứa ăn no muốn tắt_thở mà giá chỉ 228k ( ăn trung đợt giảm 10% ) , mình thích nhất pad thái vs gà nướng - đúng kiểu Thái luôn , quán nhỏ , trong hẻm , cơ_mà anh phục_vụ rất dễ_thương , chế_biến hợp vệ_sinh , bếp lộ_thiên lại còn có_thể xin nấu cùng - đã !']",2,0,0,0,1,1,1,2,1,1,0,1
['- Các bạn nhìn cái chảo này có to không \uf644\uf644\uf644 - Trên hình thấy nó cũng to mà ra bên ngoài nó bé tí_tẹo tèo teo í \uf605\uf605\uf605\uf605 - Mà nhìn hoàng tráng lắm - Ăn là no muốn lăn luôn hahaaa - Cái này từ hồi mình ở Hà_Nội đã thèm_thuồng và vẫn chưa có cơ_hội thử thì vô Sài_Gòn có quán bánh_mì chảo đậm chất Hà_Nội đây \uf44d\uf3fc\uf44d\uf3fc\uf44d\uf3fc - Thêm địa_điểm cho mấy bạn nên đi thử nhé - Không thất_vọng đâu vì nó khá ngon hê hê'],0,0,0,0,0,1,1,0,1,0,0,0
"['- Cháo : có nhiều hương cho các bạn chọn , nhưng mình thì chọn hương lá dứa .', 'Cháo thì cỡ hai chén là hết , cháo khá nhừ và thơm , cháo thơm mùi gạo tự nhiên\uf60d - Ếch : vị satế , vì mình cực_kì thích ăn cay .', 'Nồi ếch thơm_lừng , ăn tại_chỗ thì ếch nóng_hổi , ăn nóng bao ngon luôn .', 'Cay cay , mặn mặn hoà chung với cháo thì siêu ngon luôn\uf61d']",0,0,0,0,0,1,1,0,0,0,0,0
"['- Đồ nướng thì chỗ này không ít bạn "" chẻ "" biết đến đâu nhỉ = ) ) ) - Giá thì cực sinh_viên luôn .', 'Chỉ từ 5k 1 xiên thôi .', 'Có cả bò phô_mai với cả bạch_tuộc nướng nưa - Thịt ở đây ướp rất là ngon vừa_miệng ăn nữa - Nói chùn là không có chỗ chê hê hê']",0,0,0,0,1,1,1,0,1,0,0,0
"['- Đói không ngủ được nên up hình đồ_ăn cho mấy bạn coi - Mì ý ở đây ngon lắm , không chê vào đâu đươc í - Không_gian cực_kì dễ_thương = ) ) thíc hợp với việc hẹn_hò haha - Giá_cả gọi là hợp_lí cho sinh_viên tụi mình lâu_lâu tự thưởng cho bản_thân một bữa ngon_lành cũng không gọi là tiếc_nuối đâu ạ']",1,0,0,0,1,1,0,0,0,0,0,0
"['- Khẩu_vị vừa ăn hợp vệ_sinh , không_gian quán rộng view cũng tạm được .', 'Đặc_biệt là phục_vụ rất nhiệt_tình và vui_vẻ']",1,0,0,0,0,1,0,3,0,1,0,1
['- Kimchi_Kimchi \uf639\uf639 - Nói cho cùng thì đồ_ăn càng cay càng ngon hã \uf602 - Lẩu bánh gạo phần 4 người ăn_ở kimchikimchi - chúng_ta có_thể ăn no_nê luôn - Nồi lẩu khá to và còn được tặng kèm 2 lon sting và 1 phần cơm_chiên nữa \uf60d\uf60d\uf60d - Đang có chương_trình khuyến_mại giảm 50% cho phần lẩu 4 người này các bạn ạ - Ai mà nghiền cay thì không_thể không check in hhahaaa'],0,0,0,0,1,1,1,0,0,0,0,0
"['- Lẩu hàu thì chưa thấy đâu có .', 'Mới ăn lần đầu ở đây luôn , mà ghiền quá .', 'Một phần lẩu 199k đầy_đặn có 8 con hàu , 2 quả trứng , rau , nấm , một gói mì Hàn ( ăn dai dai chứ ko bở như mấy loại thường ) .', '- Cách ăn lẩu này là đập trứng cùng hàu trụng tái ăn mới ngon .', 'Nước lẩu cay cay , ấm bụng cực : D - Mì thêm 10 k / vắt , trứng 5 k / trái .']",0,0,0,0,3,1,1,0,0,0,0,0
